Year,Ceremony_Number,Decade,Era,Category,Award_Group,Winner,Artist,Status,Total_Wins,Category_Total_Winners,Data_Source,Collection_Date
2019,61,2010,2010s,Record of the Year,Big Four,This Is America,Childish Gambino,Winner,1,69,Wikipedia,2026-02-08
2019,61,2010,2010s,Song of the Year,Big Four,Donald GloverLudwig GöranssonJeffery Lamar Williams,"This Is America"" *",Winner,1,73,Wikipedia,2026-02-08
2018,60,2010,2010s,Album of the Year,Big Four,24K Magic,Bruno Mars,Winner,2,69,Wikipedia,2026-02-08
2018,60,2010,2010s,Best New Artist,Big Four,Alessia Cara,Alessia Cara,Winner,1,67,Wikipedia,2026-02-08
2018,60,2010,2010s,Best Pop Vocal Album,Genre,"Ed Sheeran Ed Sheeran, producer; Joe Rubel, Chris Sclafani & Mark ""Spike"" Stent, engineers/mixers",÷,Winner,1,33,Wikipedia,2026-02-08
2018,60,2010,2010s,Record of the Year,Big Four,24K Magic,Bruno Mars,Winner,2,69,Wikipedia,2026-02-08
2018,60,2010,2010s,Song of the Year,Big Four,Christopher Brody BrownJames FauntleroyPhilip LawrenceBruno MarsRay Charles McCullough IIJeremy ReevesRay RomulusJonathan Yip,That's What I Like,Winner,1,73,Wikipedia,2026-02-08
2017,59,2010,2010s,Album of the Year,Big Four,25,Adele,Winner,5,69,Wikipedia,2026-02-08
2017,59,2010,2010s,Best New Artist,Big Four,Chance the Rapper,Chance the Rapper,Winner,1,67,Wikipedia,2026-02-08
2017,59,2010,2010s,Best Pop Vocal Album,Genre,"Adele Tom Elmhirst, engineer/mixer",25,Winner,1,33,Wikipedia,2026-02-08
2017,59,2010,2010s,Record of the Year,Big Four,Hello,Adele,Winner,5,69,Wikipedia,2026-02-08
2017,59,2010,2010s,Song of the Year,Big Four,Adele AdkinsGreg Kurstin,"Hello"" *",Winner,1,73,Wikipedia,2026-02-08
2016,58,2010,2010s,Album of the Year,Big Four,1989,Taylor Swift,Winner,4,69,Wikipedia,2026-02-08
2016,58,2010,2010s,Best New Artist,Big Four,Meghan Trainor,Meghan Trainor,Winner,1,67,Wikipedia,2026-02-08
2016,58,2010,2010s,Best Pop Vocal Album,Genre,"Taylor Swift Max Martin & Shellback, producers",1989,Winner,1,33,Wikipedia,2026-02-08
2016,58,2010,2010s,Record of the Year,Big Four,Uptown Funk,Mark Ronson featuring Bruno Mars,Winner,1,69,Wikipedia,2026-02-08
2016,58,2010,2010s,Song of the Year,Big Four,Ed SheeranAmy Wadge,Thinking Out Loud,Winner,1,73,Wikipedia,2026-02-08
2015,57,2010,2010s,Album of the Year,Big Four,Morning Phase,Beck,Winner,1,69,Wikipedia,2026-02-08
2015,57,2010,2010s,Best New Artist,Big Four,Sam Smith,Sam Smith,Winner,2,67,Wikipedia,2026-02-08
2015,57,2010,2010s,Best Pop Vocal Album,Genre,"Sam Smith Jimmy Napes, producer Steve Fitzmaurice, engineer/mixer",In the Lonely Hour,Winner,1,33,Wikipedia,2026-02-08
2015,57,2010,2010s,Record of the Year,Big Four,Stay with Me,Sam Smith,Winner,2,69,Wikipedia,2026-02-08
2015,57,2010,2010s,Song of the Year,Big Four,James NapierWilliam PhillipsSam Smith,"Stay with Me"" *",Winner,1,73,Wikipedia,2026-02-08
2014,56,2010,2010s,Album of the Year,Big Four,Random Access Memories,Daft Punk,Winner,1,69,Wikipedia,2026-02-08
2014,56,2010,2010s,Best New Artist,Big Four,Macklemore & Ryan Lewis,Macklemore & Ryan Lewis,Winner,1,67,Wikipedia,2026-02-08
2014,56,2010,2010s,Best Pop Vocal Album,Genre,"Bruno Mars Philip Lawrence, Ari Levine & Bruno Mars, producers Ari Levine & Manny Marroquin, engineers/mixers",Unorthodox Jukebox,Winner,1,33,Wikipedia,2026-02-08
2014,56,2010,2010s,Record of the Year,Big Four,Get Lucky,Daft Punk featuring Pharrell Williams & Nile Rodgers,Winner,1,69,Wikipedia,2026-02-08
2014,56,2010,2010s,Song of the Year,Big Four,Joel LittleElla Yelich-O'Connor,Royals,Winner,1,73,Wikipedia,2026-02-08
2013,55,2010,2010s,Album of the Year,Big Four,Babel,Mumford & Sons,Winner,1,69,Wikipedia,2026-02-08
2013,55,2010,2010s,Best New Artist,Big Four,Fun,Fun,Winner,1,67,Wikipedia,2026-02-08
2013,55,2010,2010s,Best Pop Vocal Album,Genre,"Kelly Clarkson Serban Ghenea & John Hanes, engineers/mixers",Stronger,Winner,1,33,Wikipedia,2026-02-08
